RegionID,RegionName,2018-03-1bd,2018-04-1bd,2018-05-1bd,2018-06-1bd,2018-07-1bd,2018-08-1bd,2018-09-1bd,2018-10-1bd,2018-11-1bd,2018-12-1bd,2019-01-1bd,2019-02-1bd,2019-03-1bd,2019-04-1bd,2019-05-1bd,2019-06-1bd,2019-07-1bd,2019-08-1bd,2019-09-1bd,2019-10-1bd,2019-11-1bd,2019-12-1bd,2020-01-1bd,2020-02-1bd,2020-03-1bd,2018-03-2bd,2018-04-2bd,2018-05-2bd,2018-06-2bd,2018-07-2bd,2018-08-2bd,2018-09-2bd,2018-10-2bd,2018-11-2bd,2018-12-2bd,2019-01-2bd,2019-02-2bd,2019-03-2bd,2019-04-2bd,2019-05-2bd,2019-06-2bd,2019-07-2bd,2019-08-2bd,2019-09-2bd,2019-10-2bd,2019-11-2bd,2019-12-2bd,2020-01-2bd,2020-02-2bd,2020-03-2bd,2018-03-3bd,2018-04-3bd,2018-05-3bd,2018-06-3bd,2018-07-3bd,2018-08-3bd,2018-09-3bd,2018-10-3bd,2018-11-3bd,2018-12-3bd,2019-01-3bd,2019-02-3bd,2019-03-3bd,2019-04-3bd,2019-05-3bd,2019-06-3bd,2019-07-3bd,2019-08-3bd,2019-09-3bd,2019-10-3bd,2019-11-3bd,2019-12-3bd,2020-01-3bd,2020-02-3bd,2020-03-3bd
8,Arizona,126310.0,127590.0,128803.0,129884.0,130870.0,131793.0,132887.0,133794.0,134650.0,135290.0,136131.0,137056.0,137852.0,138425.0,139049.0,139932.0,140830.0,141834.0,142686.0,143738.0,144866.0,146311.0,147641.0,148921.0,150359.0,194401.0,196036.0,197574.0,199055.0,200366.0,201652.0,203152.0,204479.0,205744.0,206840.0,208170.0,209417.0,210509.0,211257.0,212116.0,213217.0,214465.0,215926.0,217191.0,218599.0,220073.0,221910.0,223644.0,225358.0,227324.0,228963.0,230564.0,231961.0,233275.0,234433.0,235628.0,237050.0,238245.0,239394.0,240355.0,241529.0,242636.0,243682.0,244457.0,245393.0,246654.0,248083.0,249784.0,251292.0,252983.0,254689.0,256862.0,258966.0,261083.0,263426.0
53,Tennessee,153203.0,154184.0,155102.0,156044.0,156990.0,157869.0,158724.0,159575.0,160373.0,161217.0,162114.0,162893.0,163507.0,163934.0,164628.0,165389.0,166194.0,167108.0,168153.0,169200.0,170326.0,171449.0,172609.0,173945.0,175560.0,121273.0,122070.0,122891.0,123852.0,124896.0,125805.0,126609.0,127403.0,128096.0,128899.0,129783.0,130698.0,131502.0,132196.0,132940.0,133608.0,134231.0,134986.0,135874.0,136819.0,137804.0,138720.0,139668.0,140632.0,141742.0,172751.0,173815.0,174816.0,175899.0,177049.0,178116.0,179196.0,180207.0,181091.0,181966.0,182985.0,183937.0,184779.0,185462.0,186327.0,187166.0,187947.0,188797.0,189750.0,190817.0,191977.0,193106.0,194191.0,195342.0,196659.0
32,Missouri,80337.0,80887.0,81440.0,82000.0,82513.0,83109.0,83531.0,83907.0,84179.0,84635.0,85118.0,85608.0,85990.0,86257.0,86525.0,86817.0,87148.0,87359.0,87604.0,87867.0,88197.0,88462.0,88690.0,88916.0,89173.0,94836.0,95472.0,96169.0,96757.0,97347.0,97991.0,98520.0,99027.0,99497.0,100071.0,100628.0,101143.0,101562.0,101931.0,102313.0,102740.0,103157.0,103480.0,103820.0,104161.0,104521.0,104869.0,105207.0,105579.0,105927.0,152801.0,153678.0,154610.0,155448.0,156262.0,157149.0,157819.0,158462.0,159044.0,159843.0,160614.0,161347.0,161880.0,162351.0,162879.0,163474.0,164052.0,164511.0,165049.0,165597.0,166177.0,166646.0,167111.0,167621.0,168222.0
27,Maryland,167382.0,168112.0,168523.0,168994.0,169471.0,169794.0,170107.0,170336.0,170542.0,170907.0,171665.0,172186.0,172263.0,172041.0,172102.0,172316.0,172507.0,172752.0,173048.0,173357.0,173686.0,174012.0,174308.0,174676.0,175341.0,200701.0,201612.0,202310.0,202921.0,203657.0,204198.0,204820.0,205210.0,205640.0,206065.0,206804.0,207479.0,207741.0,207757.0,207868.0,208173.0,208514.0,208934.0,209300.0,209724.0,210081.0,210529.0,210963.0,211404.0,212121.0,262543.0,263647.0,264497.0,265306.0,266240.0,266945.0,267526.0,267929.0,268509.0,269111.0,269913.0,270544.0,270842.0,270866.0,271039.0,271372.0,271779.0,272237.0,272742.0,273230.0,273541.0,273939.0,274402.0,274978.0,275803.0
60,Wisconsin,109289.0,109945.0,110706.0,111348.0,111954.0,112490.0,113095.0,113708.0,114341.0,114909.0,115386.0,115944.0,116597.0,117348.0,117999.0,118673.0,119365.0,120020.0,120586.0,121148.0,121692.0,122256.0,122788.0,123292.0,123634.0,132818.0,133631.0,134579.0,135380.0,136180.0,136876.0,137638.0,138347.0,139093.0,139747.0,140342.0,140982.0,141686.0,142498.0,143196.0,143888.0,144590.0,145320.0,146000.0,146719.0,147400.0,148066.0,148653.0,149243.0,149728.0,180088.0,181082.0,182302.0,183290.0,184256.0,184998.0,185917.0,186784.0,187722.0,188479.0,189190.0,189997.0,190851.0,191784.0,192520.0,193308.0,194142.0,195099.0,195962.0,196885.0,197710.0,198561.0,199335.0,200124.0,200842.0
31,Minnesota,143757.0,144657.0,145343.0,145934.0,146474.0,147276.0,147964.0,148814.0,149375.0,149968.0,150570.0,151131.0,151631.0,152068.0,152635.0,153302.0,153992.0,154599.0,155325.0,156011.0,156818.0,157530.0,158172.0,158852.0,159573.0,186193.0,187388.0,188352.0,189094.0,189855.0,190881.0,191827.0,192856.0,193722.0,194608.0,195556.0,196371.0,197021.0,197588.0,198271.0,199234.0,200206.0,201074.0,202017.0,202934.0,203870.0,204770.0,205617.0,206586.0,207650.0,235313.0,236757.0,237891.0,238779.0,239686.0,240919.0,242027.0,243181.0,244136.0,245175.0,246217.0,247098.0,247703.0,248225.0,248906.0,249895.0,250929.0,251817.0,252837.0,253862.0,254898.0,255848.0,256758.0,257831.0,259085.0
10,Colorado,238051.0,240074.0,242164.0,243903.0,245494.0,247143.0,248824.0,250454.0,251839.0,252849.0,253533.0,254228.0,254843.0,255419.0,255803.0,256522.0,257313.0,258072.0,258763.0,259327.0,259903.0,260669.0,261685.0,262711.0,263723.0,295918.0,298221.0,300758.0,303066.0,305163.0,307039.0,308860.0,310651.0,312396.0,313539.0,314272.0,315207.0,316006.0,316648.0,316796.0,317279.0,317915.0,318713.0,319513.0,320198.0,320862.0,321821.0,323133.0,324273.0,325528.0,360202.0,362626.0,365257.0,367705.0,369936.0,371899.0,373749.0,375677.0,377714.0,379030.0,379692.0,380618.0,381457.0,382291.0,382559.0,383204.0,384067.0,385111.0,386208.0,387115.0,387961.0,389117.0,390827.0,392343.0,394049.0
4,Alabama,82521.0,83361.0,84147.0,84929.0,86200.0,87697.0,89285.0,90597.0,91514.0,91851.0,92156.0,92487.0,93025.0,93262.0,93568.0,94000.0,94116.0,94106.0,93993.0,94233.0,94743.0,95562.0,96491.0,97438.0,98449.0,75469.0,75940.0,76494.0,77028.0,77695.0,78345.0,78962.0,79496.0,79991.0,80329.0,80652.0,81046.0,81409.0,81670.0,81954.0,82352.0,82687.0,83000.0,83348.0,83801.0,84351.0,84936.0,85602.0,86284.0,87110.0,131455.0,131960.0,132646.0,133332.0,134027.0,134601.0,135234.0,135769.0,136354.0,136728.0,137228.0,137839.0,138464.0,138980.0,139388.0,139964.0,140559.0,141215.0,141801.0,142519.0,143281.0,144169.0,145032.0,145893.0,146886.0
51,South Carolina,124301.0,125013.0,125748.0,126235.0,126706.0,127260.0,127866.0,128496.0,129028.0,129590.0,129901.0,130399.0,130571.0,130866.0,131012.0,131317.0,131671.0,132020.0,132347.0,132622.0,132950.0,133276.0,133724.0,134047.0,134453.0,113795.0,114642.0,115490.0,116175.0,116868.0,117573.0,118285.0,119019.0,119717.0,120434.0,121123.0,121887.0,122321.0,122729.0,123010.0,123510.0,124047.0,124557.0,125067.0,125553.0,126047.0,126502.0,126960.0,127338.0,127874.0,168226.0,169153.0,170066.0,170829.0,171612.0,172379.0,173186.0,173940.0,174738.0,175556.0,176377.0,177172.0,177663.0,178190.0,178673.0,179339.0,180026.0,180690.0,181325.0,181997.0,182626.0,183232.0,183758.0,184280.0,184938.0
25,Louisiana,146965.0,147000.0,146575.0,146320.0,146232.0,146428.0,146912.0,147433.0,147713.0,147649.0,147002.0,146637.0,146283.0,146118.0,146034.0,146104.0,146428.0,146644.0,146933.0,146973.0,147206.0,147590.0,148035.0,148343.0,148591.0,108591.0,108636.0,108547.0,108578.0,108617.0,108931.0,109222.0,109677.0,109904.0,109862.0,109542.0,109269.0,109267.0,109379.0,109584.0,109716.0,109900.0,109966.0,110012.0,109942.0,110017.0,110233.0,110592.0,110907.0,111072.0,156708.0,156773.0,156719.0,156798.0,156917.0,157258.0,157491.0,157777.0,157880.0,157843.0,157671.0,157611.0,157738.0,157894.0,158141.0,158342.0,158582.0,158710.0,158893.0,159053.0,159332.0,159731.0,160153.0,160566.0,160900.0
